addressLine1;addressLine2;size;rooms;fee;price;soldDate;lat;lng
Svartkärrsvägen 2, 1tr;Igelbodaplatån, Saltsjöbaden;120;5;6056;3700000;2018-10-07T22:00:00.000Z;59.2907767;18.2721063
Rödabergsgatan 8, 3 tr;Vasastan, Stockholm;37;1.5;1597;3565000;2018-10-04T22:00:00.000Z;59.3443228;18.0355722
Storvretsvägen 42;Skogås, Stockholm;76.9;3;3477;2060000;2018-10-05T22:00:00.000Z;59.22253970000001;18.144935
Hanna Paulis gata 11;Hägersten / Fruängen, Stockholm;87;4;4537;3700000;2018-10-04T22:00:00.000Z;59.28654299999999;17.9624952
Hamngatan 30, 2 tr;Centrala Sundbyberg, Stockholm;45;2;2776;2960000;2018-10-07T22:00:00.000Z;59.36010019999999;17.9635931
Tomtebogatan 9;Birkastan, Stockholm;174;7;4552;16900000;2018-10-07T22:00:00.000Z;59.3412479;18.0351869
Fredriksdalsgatan 1;Hammarby Sjöstad, Stockholm;63;2;3412;4500000;2018-10-04T22:00:00.000Z;59.3023316;18.0837371
Månskensvägen 33;Tullingeberg - Östra, Stockholm;108;4;7339;2230000;2018-10-05T22:00:00.000Z;59.21157129999999;17.9151092
Bergsundsgatan 2;Södermalm / Hornstull, Stockholm;44;2;1918;3600000;2018-10-04T22:00:00.000Z;59.3181748;18.0283191
Hårdvallsgatan 11, 7tr;Norra Djurgårdsstaden, Stockholm;92;4;5154;7050000;2018-10-04T22:00:00.000Z;59.3540024;18.0893541
Birger Jarlsgatan 103A, 4tr;Vasastan/Östermalm, Stockholm;42.8;1;2173;3700000;2018-10-07T22:00:00.000Z;59.3478124;18.0602404
Huggarvägen 47;Västerhaninge, Västerhaninge;78;3;5248;1450000;2018-10-07T22:00:00.000Z;59.1120807;18.105947
Kungsbro Strand 17, 6 tr;Kungsholmen, Stockholm;36.5;1;2690;3100000;2018-10-05T22:00:00.000Z;59.33029570000001;18.051348
Anders Lundströms gata 14, 4tr;Frösunda/Solna, Stockholm;94;4;5226;5100000;2018-10-04T22:00:00.000Z;59.3713934;18.0141591
Arkitektvägen 75;Bromma Abrahamsberg, Stockholm;50;3;3164;2600000;2018-10-04T22:00:00.000Z;59.3317464;17.9502864
Loftvägen 13, 4 tr;Skogås, Stockholm;61.4;2;2968;1850000;2018-10-07T22:00:00.000Z;59.2215029;18.1436086
